$Date,$Time,Pc_OIT_24Real[000],Pc_OIT_24Real[004],DeltaTPid.Pid_SP,Pc_OIT_24Real[001]Pid.Pid_SP,Pc_OIT_24Real[001],FT1501.Value
07/01/16,08:00:00,2.91797,77,16.42198,220,214.8392,3031.531
07/01/16,08:01:00,2.91797,77,17.56657,220,215.7341,3033.863
07/01/16,08:02:00,1.301518,77,17.93874,220,216.6141,3039.576
07/01/16,08:03:00,1.353936,77,17.73837,220,215.7341,3018.821
07/01/16,08:04:00,1.301765,77,16.73883,220,216.3158,3023.485
07/01/16,08:05:00,1.358843,77,16.90288,220,216.9124,3052.286
07/01/16,08:06:00,1.30564,77,16.99332,220,216.465,3005.062
07/01/16,08:07:00,1.358672,77,17.30191,220,217.1958,3031.531
07/01/16,08:08:00,1.430758,77,17.63903,220,217.0616,3018.821
07/01/16,08:09:00,1.369285,77,17.37557,220,218.3891,3022.319
07/01/16,08:10:00,1.352877,77,17.60104,220,217.4942,3009.61
07/01/16,08:11:00,1.426121,77,18.05348,220,219.12,3038.41
07/01/16,08:12:00,1.378052,77,17.10117,220,218.0908,3053.452
07/01/16,08:13:00,1.352069,77,17.49588,220,218.2399,3039.576
07/01/16,08:14:00,1.42249,77,17.48267,220,217.345,3010.776
07/01/16,08:15:00,1.398277,77,18.11174,220,219.2691,3019.987
07/01/16,08:16:00,1.397326,77,17.92923,220,218.9708,3045.29
07/01/16,08:17:00,1.386901,77,17.86916,220,218.5233,3029.199
07/01/16,08:18:00,1.368972,77,17.61598,220,218.6725,3041.908
07/01/16,08:19:00,1.340873,77,17.44871,220,219.8508,3037.244
07/01/16,08:20:00,1.321653,77,17.4029,220,219.8508,3015.323
07/01/16,08:21:00,1.337645,77,17.5542,220,220.1492,3037.244
07/01/16,08:22:00,1.297914,77,17.90506,220,220.7458,3016.489
07/01/16,08:23:00,1.367491,77,16.76036,220,221.9241,3052.286
07/01/16,08:24:00,1.312706,77,17.16473,220,222.2075,3016.489
07/01/16,08:25:00,1.367276,77,17.42156,220,221.4767,3037.244
07/01/16,08:26:00,1.35365,77,17.94188,220,222.2075,3011.942
07/01/16,08:27:00,1.351403,77,17.36238,220,223.4008,3028.033
07/01/16,08:28:00,1.298895,77,17.38732,220,222.3567,3002.73
07/01/16,08:29:00,1.348147,77,17.21878,220,222.0733,3030.365
07/01/16,08:30:00,1.329231,77,17.28003,220,223.2516,3051.12
07/01/16,08:31:00,1.30047,77,18.0614,220,222.8041,3011.942
07/01/16,08:32:00,1.359793,77,17.54384,220,222.9533,3031.531
07/01/16,08:33:00,1.326125,77,17.27066,220,221.6258,3016.489
07/01/16,08:34:00,1.319814,77,17.57833,220,222.0733,3037.244
07/01/16,08:35:00,1.307544,77,18.34342,220,223.1025,3036.078
07/01/16,08:36:00,1.359487,77,16.79078,220,222.2075,3033.863
07/01/16,08:37:00,1.282029,77,16.98064,220,222.3567,3016.489
07/01/16,08:38:00,1.306122,77,17.49912,220,222.2075,3021.153
07/01/16,08:39:00,1.340702,77,16.63086,220,221.4767,3019.987
07/01/16,08:40:00,1.279027,77,17.09506,220,221.3275,3043.074
07/01/16,08:41:00,1.288279,77,18.10208,220,221.775,3034.912
07/01/16,08:42:00,1.268882,77,17.58514,220,221.3275,3023.485
07/01/16,08:43:00,1.329773,77,17.13302,220,220.1492,3055.667
07/01/16,08:44:00,1.358585,77,16.75512,220,220.4475,3030.365
07/01/16,08:45:00,1.34233,77,17.4869,220,219.7017,3011.942
07/01/16,08:46:00,1.26729,77,17.79558,220,219.4183,3041.908
07/01/16,08:47:00,1.235263,77,17.76486,220,219.5674,3021.153
07/01/16,08:48:00,1.350553,77,16.44428,220,218.9708,3031.531
07/01/16,08:49:00,1.297238,77,16.13692,220,218.5233,3039.576
07/01/16,08:50:00,1.279883,77,17.81105,220,218.5233,3022.319
07/01/16,08:51:00,1.292907,77,18.39151,220,217.9416,3018.821
07/01/16,08:52:00,1.329768,77,17.69765,220,217.6433,3018.821
07/01/16,08:53:00,1.36541,77,17.98285,220,217.4942,3023.485
07/01/16,08:54:00,1.389837,77,18.26887,220,216.7633,3006.112
07/01/16,08:55:00,1.3938,77,17.80663,220,217.4942,3030.365
07/01/16,08:56:00,1.324025,77,18.26308,220,217.1958,3036.078
07/01/16,08:57:00,1.363063,77,18.15744,220,217.6433,3026.866
07/01/16,08:58:00,1.342653,77,17.74397,220,216.465,3024.534
07/01/16,08:59:00,1.386351,77,17.5628,220,216.3158,3039.576
07/01/16,09:00:00,1.389796,77,17.8379,220,217.345,3008.444
07/01/16,09:01:00,1.399601,77,17.38721,220,216.465,3036.078
07/01/16,09:02:00,1.364854,77,18.04491,220,217.1958,3024.534
07/01/16,09:03:00,1.390288,77,17.50449,220,216.9124,3022.319
07/01/16,09:04:00,1.388674,77,17.0699,220,218.0908,3033.863
07/01/16,09:05:00,1.339227,77,17.284,220,218.9708,3038.41
07/01/16,09:06:00,1.320886,77,17.7564,220,217.7925,3023.485
07/01/16,09:07:00,1.315609,77,16.90123,220,218.3891,3038.41
07/01/16,09:08:00,1.332267,77,17.19616,220,218.9708,3030.365
07/01/16,09:09:00,1.36277,77,17.21458,220,217.6433,3017.655
07/01/16,09:10:00,1.325204,77,16.76613,220,218.9708,3026.866
07/01/16,09:11:00,1.317317,77,17.12826,220,218.5233,3026.866
07/01/16,09:12:00,1.317754,77,17.78742,220,218.6725,3049.954
07/01/16,09:13:00,1.373535,77,16.79645,220,218.9708,3018.821
