$Date,$Time,Pc_OIT_24Real[000]
07/01/16,08:00:00,2.91797
07/01/16,08:01:00,2.91797
07/01/16,08:02:00,1.301518
07/01/16,08:03:00,1.353936
07/01/16,08:04:00,1.301765
07/01/16,08:05:00,1.358843
07/01/16,08:06:00,1.30564
07/01/16,08:07:00,1.358672
07/01/16,08:08:00,1.430758
07/01/16,08:09:00,1.369285
07/01/16,08:10:00,1.352877
07/01/16,08:11:00,1.426121
07/01/16,08:12:00,1.378052
07/01/16,08:13:00,1.352069
07/01/16,08:14:00,1.42249
07/01/16,08:15:00,1.398277
07/01/16,08:16:00,1.397326
07/01/16,08:17:00,1.386901
07/01/16,08:18:00,1.368972
07/01/16,08:19:00,1.340873
07/01/16,08:20:00,1.321653
07/01/16,08:21:00,1.337645
07/01/16,08:22:00,1.297914
07/01/16,08:23:00,1.367491
07/01/16,08:24:00,1.312706
07/01/16,08:25:00,1.367276
07/01/16,08:26:00,1.35365
07/01/16,08:27:00,1.351403
07/01/16,08:28:00,1.298895
07/01/16,08:29:00,1.348147
07/01/16,08:30:00,1.329231
07/01/16,08:31:00,1.30047
07/01/16,08:32:00,1.359793
07/01/16,08:33:00,1.326125
07/01/16,08:34:00,1.319814
07/01/16,08:35:00,1.307544
07/01/16,08:36:00,1.359487
07/01/16,08:37:00,1.282029
07/01/16,08:38:00,1.306122
07/01/16,08:39:00,1.340702
07/01/16,08:40:00,1.279027
07/01/16,08:41:00,1.288279
07/01/16,08:42:00,1.268882
07/01/16,08:43:00,1.329773
07/01/16,08:44:00,1.358585
07/01/16,08:45:00,1.34233
07/01/16,08:46:00,1.26729
07/01/16,08:47:00,1.235263
07/01/16,08:48:00,1.350553
07/01/16,08:49:00,1.297238
07/01/16,08:50:00,1.279883
07/01/16,08:51:00,1.292907
07/01/16,08:52:00,1.329768
07/01/16,08:53:00,1.36541
07/01/16,08:54:00,1.389837
07/01/16,08:55:00,1.3938
07/01/16,08:56:00,1.324025
07/01/16,08:57:00,1.363063
07/01/16,08:58:00,1.342653
07/01/16,08:59:00,1.386351
07/01/16,09:00:00,1.389796
07/01/16,09:01:00,1.399601
07/01/16,09:02:00,1.364854
07/01/16,09:03:00,1.390288
07/01/16,09:04:00,1.388674
07/01/16,09:05:00,1.339227
07/01/16,09:06:00,1.320886
07/01/16,09:07:00,1.315609
07/01/16,09:08:00,1.332267
07/01/16,09:09:00,1.36277
07/01/16,09:10:00,1.325204
07/01/16,09:11:00,1.317317
07/01/16,09:12:00,1.317754
07/01/16,09:13:00,1.373535
07/01/16,09:14:00,1.316765
07/01/16,09:15:00,1.367288
07/01/16,09:16:00,1.271111
07/01/16,09:17:00,1.280912
07/01/16,09:18:00,1.254879
07/01/16,09:19:00,1.265252
07/01/16,09:20:00,1.255932
07/01/16,09:21:00,1.242364
07/01/16,09:22:00,1.304157
07/01/16,09:23:00,1.221514
07/01/16,09:24:00,1.268634
